rxn	LB	flux	UB
RXN-AMPTASECG_FWD-pepD                       	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMPTASECG_REV-pepD                       	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMUAAH_FWD-cwlD                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMUAAH_FWD-cwlJ                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMUAAH_FWD-lysM                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMUAAH_FWD-sleB_0046                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMUAAH_FWD-sleB_2624                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMUAAH_FWD-SLH                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMUAAH_FWD-ykvT                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMUAAH_FWD-yqiI_1176                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMUAAH_FWD-yqiI_1198                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AMUAAH_FWD-yqiI_2048                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ANPRT_FWD-trpD                           	    0.00E+00	 1.54542439E-02	    1.00E+03
RXN-ANS_FWD-pabA                             	    0.00E+00	 1.54542439E-02	    1.00E+03
RXN-AOXPBDC_FWD-SPONT                        	    0.00E+00	 5.41613036E-05	    1.00E+03
RXN-AOXSr_FWD-bioF                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AOXSr_REV-bioF                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AOXSr2_FWD-bioF                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-APCPT_FWD-coaX                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-APCS_FWD-speE_2                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-APCS_FWD-speE_4                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-APL_FWD-ilvBH_0099                       	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-APL_FWD-ilvBH_0305                       	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-APNPT_FWD-coaX                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-APNTPM_FWD-folE                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-APNTPM_REV-folE                          	    0.00E+00	 0.00000000E+00	    1.00E+03
