RXN	LB	flux	UB
RXN-CEL3abc_FWD-MSTS_1	        0.00	0.00000000	     1000.00
RXN-CEL3abc_FWD-MSTS_2	        0.00	0.00000000	     1000.00
RXN-CEL3abc_FWD-MSTS_3	        0.00	0.00000000	     1000.00
RXN-CEL4abc_FWD-MSTS_0	        0.00	0.00000000	     1000.00
RXN-CEL4abc_FWD-MSTS_1	        0.00	0.00000000	     1000.00
RXN-CEL4abc_FWD-MSTS_2	        0.00	0.00000000	     1000.00
RXN-CEL4abc_FWD-MSTS_3	        0.00	0.00000000	     1000.00
RXN-CEL5abc_FWD-MSTS_0	        0.00	0.00000000	     1000.00
RXN-CEL5abc_FWD-MSTS_1	        0.00	0.00000000	     1000.00
RXN-CEL5abc_FWD-MSTS_2	        0.00	0.00000000	     1000.00
RXN-CEL5abc_FWD-MSTS_3	        0.00	0.00000000	     1000.00
RXN-CEL6abc_FWD-MSTS_0	        0.00	0.00000000	     1000.00
RXN-CEL6abc_FWD-MSTS_1	        0.00	0.00000000	     1000.00
RXN-CEL6abc_FWD-MSTS_2	        0.00	0.00000000	     1000.00
RXN-CEL6abc_FWD-MSTS_3	        0.00	0.00000000	     1000.00
RXN-CEPA_FWD-ADU75001	        0.00	4.20000000	     1000.00
RXN-CEPA2_FWD-glgP	        0.00	0.00000000	     1000.00
RXN-CEPA3_FWD-glgP	        0.00	0.00000000	     1000.00
RXN-CEPA4_FWD-glgP	        0.00	0.00000000	     1000.00
RXN-CEPA5_FWD-glgP	        0.00	0.00000000	     1000.00
RXN-CGGH_FWD-gmuD	        0.00	0.00000000	     1000.00
RXN-CGGH_FWD-nagZ	        0.00	0.00000000	     1000.00
RXN-CGGH_FWD-xynD	        0.00	0.00000000	     1000.00
RXN-CHORM_FWD-aroH	        0.00	0.16412574	     1000.00
RXN-CHORM_FWD-thrR	        0.00	0.00000000	     1000.00
RXN-CHRS_FWD-aroC	        0.00	0.18060462	     1000.00
RXN-CITCIb_FWD-leuCD	        0.00	0.00000000	     1000.00
